0	pos	"You know, Robin Williams, God bless him, is constantly shooting himself in the foot lately with all these dumb comedies he has done this decade (with perhaps the exception of ""Death To Smoochy"", which bombed when it came out but is now a cult classic). The dramas he has made lately have been fantastic, especially ""Insomnia"" and ""One Hour Photo"". ""The Night Listener"", despite mediocre reviews and a quick DVD release, is among his best work, period.<br /><br />This is a very chilling story, even though it doesn't include a serial killer or anyone that physically dangerous for that matter. The concept of the film is based on an actual case of fraud that still has yet to be officially confirmed. In high school, I read an autobiography by a child named Anthony Godby Johnson, who suffered horrific abuse and eventually contracted AIDS as a result. I was moved by the story until I read reports online that Johnson may not actually exist. When I saw this movie, the confused feelings that Robin Williams so brilliantly portrayed resurfaced in my mind.<br /><br />Toni Collette probably gives her best dramatic performance too as the ultimately sociopathic ""caretaker"". Her role was a far cry from those she had in movies like ""Little Miss Sunshine"". There were even times she looked into the camera where I thought she was staring right at me. It takes a good actress to play that sort of role, and it's this understated (yet well reviewed) role that makes Toni Collette probably one of the best actresses of this generation not to have even been nominated for an Academy Award (as of 2008). It's incredible that there is at least one woman in this world who is like this, and it's scary too.<br /><br />This is a good, dark film that I highly recommend. Be prepared to be unsettled, though, because this movie leaves you with a strange feeling at the end."
1	pos	I thought it was a pretty good movie and should have been released in theaters first. It wouldn't have been a big Blockbuster but it would have made some pretty good money. The movie has suspense and makes you wonder just how much of this is going on in the real world. Justin Timberlake did a good job. I wasn't expecting Justin Timberlake to do that good a job. Considering it is his first movie he did a good job. This is a movie that is good to pick up and watch when you just don't know what you want to rent that night. It should go pretty well. The cast was great. So I highly recommend that everyone checks this movie out!
2	neg	tries to be funny and fails miserably. The animation is just terrible, looks like a 2 year old threw it together in his sleep. Plot is dull and cliched. IF you have a young child, maybe rent it. but don't waste hard earned money to pay to see it.<br /><br />1/10
3	neg	As long as there's been 3d technology, (1950's I think) there's been animation made for it. I remember specifically, a Donald Duck cartoon with Chip and Dale in it. I don't remember the name at the moment, but the plot was that Donald worked at a circus, was feeding an elephant peanuts and Chip and Dale were stealing the peanuts. This was made to watch in 3d probably 1960's. If you happened to watch Meet the Robinsons in 3d in theaters, they showed this cartoon before the movie and explained the details of it's origin. There are probably somewhere around 100 cartoons made specifically to be viewed through 3d glasses. This claim was a bad move because it's not difficult to prove them wrong. On top of that, this just looks like a bad movie.
4	neg	The characters are cliched and predictable, with everyone being either snow-white pure or wholly evil. The acting is too stilted for it to be bad in an amusing, over-the-top way. It's doubly disappointing if you're a Bette Davis fan, because her character is not a typically fun Bette-Davis-type character; she just gets to frown pensively a lot.<br /><br />On the whole, neither my wife nor I found the movie to be interesting, moving or enjoyable at all.
5	neg	The two things are are good about this film are it's two unknown celebrities.<br /><br />First, Daphne Zuniga, in her first appearance in a film, young and supple, with looks that still encompass her body today, steals the very beginning, which is all she is in, and that is that. She is obviously just starting out because her acting improved with her next projects.<br /><br />Second, the score by then known composer Christopher(Chris) Young is what keeps this stinker from getting a one star...yeah, I know one star more is not much, but in this movie's case, it is a lot.<br /><br />The rest is just stupid senseless horror of a couple a college students who try to clean out a dorm that is due for being torn down, getting offed one by one by an unsuspecting killer, blah, blah, blah...we all know where this is going.<br /><br />Watch the first eighteen minutes with Daphne Zuniga, then turn it off.
6	neg	"Another day stuck indoors, another film to watch. Having finally completed my Christmas shopping yesterday on a cold and foggy afternoon, I had nowhere else to go to escape ""The Land That Time Forgot"". Or rather, I had nothing else to watch.<br /><br />Doug McClure, that bastion of leading-man actors, leads a handful of Allied sailors sunk by a U-Boat somewhere in the Atlantic in 1916. Capturing the U-Boat (in a scene that defies logic and reason), they eventually find themselves on a strange island, apparently untouched by human hands. Together, they explore the land and discover dinosaurs and Neanderthals! Can they escape before becoming a permanent resident of the land that Time forgot? <br /><br />Despite being made few years before ""Star Wars"", these films are light-years apart in terms of special effects. The model shots are little better than anything you would expect to see in an episode of Gerry Anderson's ""Stingray"" and the creatures aren't much better either. When the T-Rex (I'm assuming that's what it was) was killed, it fell in the same way that zombies do when you kill them - frozen in mid-walk and collapsing, arms and legs held out like a sleeping cow that's been pushed over. Granted, the sets aren't too bad but the lousy acting and endless explosion noises (which all sound the same) do their best to ruin credibility and your enjoyment of the picture as a whole. Characters are neither believable or worthy of your sympathy as they fire their guns at seemingly anything that moves. In the end, I just didn't care if they got off the island or not and by the time the end came, I was more relieved than entertained.<br /><br />Costumes are authentic enough until the cavemen arrive and it is bear-skin bikinis and loin cloths all round. And although it was fairly obvious from their actions, you wouldn't have known that some characters were German from their accents. The whole thing just lacked some polish and cohesion, leaving the viewer confused in places and nonplussed in others. Overall, this film barely registers a ripple of excitement these days although you can find some small amusement in trying to work out where Colin Farrell is. I spotted his name in the credits and half expected a baby to appear with an Irish accent and suspect facial hair. Oh well. Nothing particularly great here to see then, but just about OK if you're eating your lunch and the weather is preventing further activity."
7	pos	It's hard for me to criticize anything that Mitzi Kapture does. She just radiates beauty and grace on the screen and is a phenomenal actress. That notwithstanding, yes, the plot was predictable. I think perhaps if Jill HAD slept with Richard then it may have made him a little crazier than he already was, which would have added more to the suspense. It would have also been nice to see Jill and her husband find out about Richard's little problem with his ex-wife, maybe a bit more back story. I was a little disappointed with the ending of the movie. I would have liked to have seen more closure with Zack's death and possibly closure with her husband. I do have to say though, I will never be able to look at a flare gun and not picture her standing there. It was a very fitting end for Richard. Of course, Mitzi ROCKED! I am so looking forward to her future projects.
8	neg	Way to go ace! You just made a chilling, grossly intriguing story of a necrophiliac cannibal into a soft, mellow, drama. Obviously a movie called Dahmer would be one of two kinds: Horror, or documentary right? This was neither. It wasn't close to any detailed facts, (in fact it barely had any substance at all) It wasn't really morbid or scary or didn't even try to be very disturbing.(as if you would've had to try!!) What the hell was this writer/director thinking?? Here's one of the most REAL examples of sick serial killers ever and we get badly shot, poorly acted gay bar roofie rapes and lengthy droning flashbacks to alone time in his old parent's house. I think Jacobson was actually trying to present (or invent) 'the soft side' of j.Dahmer.
9	pos	"This was one of those films I probably never would have picked off the shelf , but it came on IFC one day and I said - Eric Stolz, William Forsythe...why not? If I'd changed the channel, I would have really missed a treasure. <br /><br />The subject is depressing - young author paralyzed in climbing accident convalesces in lower-class rehabilitation center. It would have been so easy and tempting to make this a manipulative tear-jerker. But, that doesn't happen because it was written by Neal Jimenez, after he himself was accidently paralyzed. No Hollywood happiness here. All of the patients in the ward come from wildly different backgrounds, but they share a feeling of helplessness, of being at the mercy of others. Stolz is very good as a ""lone wolf"" type, forced into embarrassing dependence on his girlfriend (Helen Hunt); Wesley Snipes is fine as a former ladies' man whose family is falling apart; but William Forsythe takes the cake as a tough guy determined to make someone pay for taking away his independence.<br /><br />See this film."
